Date,IC_acct_subj,IC_acct_pol,defi_subj,defi_pol,blockchan_subj,blockchain_pol,crypto_subj,crypto_pol,avg_3k_subj,avg_3k_pol,DPI_subj,DPI_pol
04-02-22,0,0,0.403753952,0.075800648,0.401453979,0.094761697,0.171858153,0.061668795,0.325688695,0.07741038,0.350779067,0.04914034
05-02-22,0,0,0.334921301,0.096261516,0.219554687,0.043134768,0.28985092,0.039089881,0.281442303,0.059495388,0.275149303,0.024734572
06-02-22,0.186868687,0.045454545,0.332030375,0.110972511,0.202732323,-0.009808081,0.288683947,0.077817803,0.274482215,0.059660744,0.43543771,0.059890572
07-02-22,0.370454545,0.101515152,0.357985348,0.198765595,0.132435103,0.01511141,0.308453547,0.116229509,0.266291333,0.110035505,0.334048027,0.049656947
08-02-22,0.428571429,0.25,0.384148222,0.223232672,0.251123631,0.131213394,0.279823344,0.088131418,0.305031733,0.147525828,0.27255132,0.066539589
09-02-22,0.114718615,0.001875902,0.344499689,0.199058017,0.213996486,0.058981876,0.344703918,0.169386342,0.301066697,0.142475412,0.436879666,0.104819939
10-02-22,0.153571429,0.028571429,0.35543938,0.117339827,0.234926869,0.030087814,0.359399315,0.080356548,0.316588521,0.075928063,0.298484848,0.008116883
11-02-22,0.402380952,0.123457792,0.382899921,0.068963123,0.320764393,0.059691956,0.251973485,0.05919798,0.318545933,0.062617686,0.344337349,0.024307229
12-02-22,0.402380952,0.123457792,0.302624621,0.086989827,0.167772351,0.076788767,0.294661566,0.0820497,0.255019513,0.081942765,0.308333333,0.011904762
13-02-22,0.402380952,0.123457792,0.349233002,-0.002839967,0.132537879,0.036212121,0.333016586,0.133862879,0.271595822,0.055745011,0.328571429,0.007142857
14-02-22,0,0,0.405764991,0.081448413,0.224137576,0.045413939,0.361553716,0.130349567,0.330485428,0.085737306,0.389808239,0.083806818
15-02-22,0.267445887,0.142424242,0.369939978,0.031343378,0.259143505,0.066934915,0.278658442,0.101695851,0.302580642,0.066658048,0.363771578,0.011471861
16-02-22,0.2,0.2,0.498433554,0.200758181,0.205514184,0.035406113,0.308384145,0.090691162,0.337443961,0.108951819,0.387168699,0.050082825
17-02-22,0.166666667,0.045454545,0.435844256,0.109683628,0.216261442,0.026687658,0.325609055,0.075003436,0.325904918,0.070458241,0.270397644,0.022091311
18-02-22,0.083333333,0.066666667,0.394507876,0.120533911,0.292587416,0.067013509,0.340269264,0.150187888,0.342454852,0.112578436,0.329824561,0
19-02-22,0.083333333,0.066666667,0.360922619,5.36E-05,0.146991264,0.03695064,0.284403463,0.096053102,0.264105782,0.044352438,0.403939394,0.049848485
20-02-22,0.083333333,0.066666667,0.322482864,0.240372835,0.186443836,0.005241703,0.327939182,0.151522763,0.278955294,0.132379101,0.330947872,0.036868687
21-02-22,0.066666667,0.066666667,0.368535385,0.156370836,0.319458369,0.054812376,0.333486915,0.098299847,0.340493556,0.103161019,0.360966811,0.054057239
22-02-22,0,0,0.350583013,0.202619348,0.266161369,0.052336538,0.221017027,0.081491279,0.279253803,0.112149055,0.416114719,0.066655844
23-02-22,0,0,0.453600121,0.182843137,0.410675002,0.003969728,0.288694138,0.103600289,0.384323087,0.096804385,0.353302253,0.061460761
24-02-22,0.25,0.068181818,0.467404755,0.159637543,0.320585105,0.133334766,0.308217608,0.10957178,0.365402489,0.134181363,0.354166667,-0.041666667
25-02-22,0.083333333,0.022727273,0.40898696,0.053726952,0.284402357,0.046763468,0.254396528,0.036220337,0.315928615,0.045570252,0.337878788,0.011363636
26-02-22,0.083333333,0.022727273,0.458799052,0.084126984,0.261219008,0.1096809,0.249464813,0.126528045,0.323160958,0.106778643,0.413825758,0.116856061
27-02-22,0.083333333,0.022727273,0.511551871,0.075021259,0.262181818,0.109187879,0.271580898,0.141678139,0.348438196,0.108629092,0.453010204,0.11005102
28-02-22,0.15,-0.014583333,0.511551871,0.075021259,0.262181818,0.109187879,0.271580898,0.141678139,0.348438196,0.108629092,0.453010204,0.11005102
01-03-22,0.300974026,0.155808081,0.361790658,0.036400914,0.299337461,0.130702183,0.290418939,0.07110322,0.317182353,0.079402106,0.409148728,0.058806262
02-03-22,0.192424242,0.078787879,0.40612762,0.030631648,0.412064265,0.193184572,0.333738173,0.075412067,0.383976686,0.099742762,0.340533778,0.081317765
03-03-22,0.475,0.3,0.418762404,0.08870621,0.265151295,0.061199796,0.343709951,0.082595635,0.342541217,0.077500547,0.246171171,0.032995495
04-03-22,0.2,0.038961039,0.38217292,-0.003643579,0.293310334,0.087472876,0.327683874,0.115943615,0.334389043,0.066590971,0.229718457,0.032846715
05-03-22,0.2,0.038961039,0.577696417,-0.050059869,0.335615458,0.099126014,0.356821825,0.12319062,0.4233779,0.057418922,0.444318182,0.029545455
06-03-22,0.2,0.038961039,0.340756303,0.061426237,0.320454545,0.113825758,0.252952878,0.066284358,0.304721242,0.080512118,0.503291108,0.04611809
07-03-22,0.2,0,0.490289286,0.122040079,0.293339932,0.024127313,0.316164196,0.084463041,0.366597804,0.076876811,0.389814815,0.030050505
08-03-22,0.175925926,0.1,0.411981912,0.10645761,0.300912513,0.069374376,0.300150929,0.088402372,0.337681785,0.088078119,0.279350649,0.082186147
09-03-22,0.183636364,0.115757576,0.425016021,0.081545564,0.371853829,0.155217123,0.288268182,0.120794715,0.361712677,0.119185801,0.35975196,0.035802036
